,Training profit,Testing profit NYC,Testing profit LONGIL,Testing profit NORTH,Testing profit WEST
0,45828.38170594082,9579.181252503775,17201.834461834424,9742.212371552447,20311.871587108417
1,45945.860079854276,9439.722032957503,17043.713839370743,9608.520641624673,20280.85461689026
2,45971.835672030094,9512.257118993026,17086.733809459765,9726.25171691022,20420.102223392747
3,44750.746122102544,9065.161210173634,15347.093999414206,9597.510910343704,19772.72447324788
4,45316.48065998466,9354.403139724529,16212.584576482317,9653.320159481813,19859.88497669018
5,42286.02748545603,8762.656112262743,14519.296529529893,9408.96024339779,18445.993018850255
6,44294.47828831988,9029.94168647539,15340.56865755648,9492.066633548544,19476.14863234126
7,45557.85913257432,9407.613507195347,16369.582890890857,9654.696147564457,20115.096557295074
8,43945.834049267236,9071.636478887416,15817.348665128706,9575.902734214116,19290.146722557103
9,43984.14858172923,8941.49325329113,15161.957692797303,9565.344220830182,19336.054366653017
